funs,pkgs,in_multiple_pkgs,contents,urls
pivot_wider,tidyr,FALSE,grouped-nested-t-test.md,https://gist.githubusercontent.com/brshallo/01496b68adef88a71de1fd44f3712b10/raw/79de1c4a7835db7b671b6cba87914bafcc435bdb/grouped-nested-t-test.md
rowwise,dplyr,FALSE,grouped-nested-t-test.md,https://gist.githubusercontent.com/brshallo/01496b68adef88a71de1fd44f3712b10/raw/79de1c4a7835db7b671b6cba87914bafcc435bdb/grouped-nested-t-test.md
mutate,dplyr,FALSE,grouped-nested-t-test.md,https://gist.githubusercontent.com/brshallo/01496b68adef88a71de1fd44f3712b10/raw/79de1c4a7835db7b671b6cba87914bafcc435bdb/grouped-nested-t-test.md
pairwise,pwiser,TRUE,grouped-nested-t-test.md,https://gist.githubusercontent.com/brshallo/01496b68adef88a71de1fd44f3712b10/raw/79de1c4a7835db7b671b6cba87914bafcc435bdb/grouped-nested-t-test.md
where,(unknown),FALSE,grouped-nested-t-test.md,https://gist.githubusercontent.com/brshallo/01496b68adef88a71de1fd44f3712b10/raw/79de1c4a7835db7b671b6cba87914bafcc435bdb/grouped-nested-t-test.md
library,base,FALSE,benchmark-cdf-methods.md,https://gist.githubusercontent.com/brshallo/ea2e04347e14fae7ff969a54e2266359/raw/fec96ad3a02a66a6545d77af11a276d375c5dab3/benchmark-cdf-methods.md
set.seed,base,FALSE,benchmark-cdf-methods.md,https://gist.githubusercontent.com/brshallo/ea2e04347e14fae7ff969a54e2266359/raw/fec96ad3a02a66a6545d77af11a276d375c5dab3/benchmark-cdf-methods.md
rnorm,stats,FALSE,benchmark-cdf-methods.md,https://gist.githubusercontent.com/brshallo/ea2e04347e14fae7ff969a54e2266359/raw/fec96ad3a02a66a6545d77af11a276d375c5dab3/benchmark-cdf-methods.md
microbenchmark,microbenchmark,FALSE,benchmark-cdf-methods.md,https://gist.githubusercontent.com/brshallo/ea2e04347e14fae7ff969a54e2266359/raw/fec96ad3a02a66a6545d77af11a276d375c5dab3/benchmark-cdf-methods.md
logspline,logspline,FALSE,benchmark-cdf-methods.md,https://gist.githubusercontent.com/brshallo/ea2e04347e14fae7ff969a54e2266359/raw/fec96ad3a02a66a6545d77af11a276d375c5dab3/benchmark-cdf-methods.md
plogspline,logspline,FALSE,benchmark-cdf-methods.md,https://gist.githubusercontent.com/brshallo/ea2e04347e14fae7ff969a54e2266359/raw/fec96ad3a02a66a6545d77af11a276d375c5dab3/benchmark-cdf-methods.md
density,stats,FALSE,benchmark-cdf-methods.md,https://gist.githubusercontent.com/brshallo/ea2e04347e14fae7ff969a54e2266359/raw/fec96ad3a02a66a6545d77af11a276d375c5dab3/benchmark-cdf-methods.md
CDF,spatstat,FALSE,benchmark-cdf-methods.md,https://gist.githubusercontent.com/brshallo/ea2e04347e14fae7ff969a54e2266359/raw/fec96ad3a02a66a6545d77af11a276d375c5dab3/benchmark-cdf-methods.md
.,(unknown),FALSE,benchmark-cdf-methods.md,https://gist.githubusercontent.com/brshallo/ea2e04347e14fae7ff969a54e2266359/raw/fec96ad3a02a66a6545d77af11a276d375c5dab3/benchmark-cdf-methods.md
with,base,FALSE,benchmark-cdf-methods.md,https://gist.githubusercontent.com/brshallo/ea2e04347e14fae7ff969a54e2266359/raw/fec96ad3a02a66a6545d77af11a276d375c5dab3/benchmark-cdf-methods.md
splinefun,stats,FALSE,benchmark-cdf-methods.md,https://gist.githubusercontent.com/brshallo/ea2e04347e14fae7ff969a54e2266359/raw/fec96ad3a02a66a6545d77af11a276d375c5dab3/benchmark-cdf-methods.md
cumsum,base,FALSE,benchmark-cdf-methods.md,https://gist.githubusercontent.com/brshallo/ea2e04347e14fae7ff969a54e2266359/raw/fec96ad3a02a66a6545d77af11a276d375c5dab3/benchmark-cdf-methods.md
sum,base,FALSE,benchmark-cdf-methods.md,https://gist.githubusercontent.com/brshallo/ea2e04347e14fae7ff969a54e2266359/raw/fec96ad3a02a66a6545d77af11a276d375c5dab3/benchmark-cdf-methods.md
library,base,FALSE,split-group-nest-join.md,https://gist.githubusercontent.com/brshallo/61a97577bd24aad7de4c0c1e284fe1d8/raw/7fe96f14409bbc2a4684a9f7b252b1bf122d8066/split-group-nest-join.md
na.omit,stats,FALSE,split-group-nest-join.md,https://gist.githubusercontent.com/brshallo/61a97577bd24aad7de4c0c1e284fe1d8/raw/7fe96f14409bbc2a4684a9f7b252b1bf122d8066/split-group-nest-join.md
split,base,FALSE,split-group-nest-join.md,https://gist.githubusercontent.com/brshallo/61a97577bd24aad7de4c0c1e284fe1d8/raw/7fe96f14409bbc2a4684a9f7b252b1bf122d8066/split-group-nest-join.md
imap,purrr,FALSE,split-group-nest-join.md,https://gist.githubusercontent.com/brshallo/61a97577bd24aad7de4c0c1e284fe1d8/raw/7fe96f14409bbc2a4684a9f7b252b1bf122d8066/split-group-nest-join.md
group_nest,dplyr,FALSE,split-group-nest-join.md,https://gist.githubusercontent.com/brshallo/61a97577bd24aad7de4c0c1e284fe1d8/raw/7fe96f14409bbc2a4684a9f7b252b1bf122d8066/split-group-nest-join.md
paste0,base,FALSE,split-group-nest-join.md,https://gist.githubusercontent.com/brshallo/61a97577bd24aad7de4c0c1e284fe1d8/raw/7fe96f14409bbc2a4684a9f7b252b1bf122d8066/split-group-nest-join.md
reduce,purrr,FALSE,split-group-nest-join.md,https://gist.githubusercontent.com/brshallo/61a97577bd24aad7de4c0c1e284fe1d8/raw/7fe96f14409bbc2a4684a9f7b252b1bf122d8066/split-group-nest-join.md
library,base,FALSE,weighted-t-test-tidied.md,https://gist.githubusercontent.com/brshallo/fcbd30fd77916e10fcfed6bd50aae081/raw/b63008a6b0cc31dbb75f3486a3f0e0c6da446f0e/weighted-t-test-tidied.md
getOption,base,FALSE,weighted-t-test-tidied.md,https://gist.githubusercontent.com/brshallo/fcbd30fd77916e10fcfed6bd50aae081/raw/b63008a6b0cc31dbb75f3486a3f0e0c6da446f0e/weighted-t-test-tidied.md
options,base,FALSE,weighted-t-test-tidied.md,https://gist.githubusercontent.com/brshallo/fcbd30fd77916e10fcfed6bd50aae081/raw/b63008a6b0cc31dbb75f3486a3f0e0c6da446f0e/weighted-t-test-tidied.md
data,utils,FALSE,weighted-t-test-tidied.md,https://gist.githubusercontent.com/brshallo/fcbd30fd77916e10fcfed6bd50aae081/raw/b63008a6b0cc31dbb75f3486a3f0e0c6da446f0e/weighted-t-test-tidied.md
filter,dplyr,TRUE,weighted-t-test-tidied.md,https://gist.githubusercontent.com/brshallo/fcbd30fd77916e10fcfed6bd50aae081/raw/b63008a6b0cc31dbb75f3486a3f0e0c6da446f0e/weighted-t-test-tidied.md
map,purrr,FALSE,weighted-t-test-tidied.md,https://gist.githubusercontent.com/brshallo/fcbd30fd77916e10fcfed6bd50aae081/raw/b63008a6b0cc31dbb75f3486a3f0e0c6da446f0e/weighted-t-test-tidied.md
spread,tidyr,FALSE,weighted-t-test-tidied.md,https://gist.githubusercontent.com/brshallo/fcbd30fd77916e10fcfed6bd50aae081/raw/b63008a6b0cc31dbb75f3486a3f0e0c6da446f0e/weighted-t-test-tidied.md
bind_cols,dplyr,FALSE,weighted-t-test-tidied.md,https://gist.githubusercontent.com/brshallo/fcbd30fd77916e10fcfed6bd50aae081/raw/b63008a6b0cc31dbb75f3486a3f0e0c6da446f0e/weighted-t-test-tidied.md
clean_names,janitor,FALSE,weighted-t-test-tidied.md,https://gist.githubusercontent.com/brshallo/fcbd30fd77916e10fcfed6bd50aae081/raw/b63008a6b0cc31dbb75f3486a3f0e0c6da446f0e/weighted-t-test-tidied.md
wtd.t.test,weights,FALSE,weighted-t-test-tidied.md,https://gist.githubusercontent.com/brshallo/fcbd30fd77916e10fcfed6bd50aae081/raw/b63008a6b0cc31dbb75f3486a3f0e0c6da446f0e/weighted-t-test-tidied.md
tidy_wtd.t.test,(unknown),FALSE,weighted-t-test-tidied.md,https://gist.githubusercontent.com/brshallo/fcbd30fd77916e10fcfed6bd50aae081/raw/b63008a6b0cc31dbb75f3486a3f0e0c6da446f0e/weighted-t-test-tidied.md
length,base,FALSE,cdf_density.R,https://gist.githubusercontent.com/brshallo/88ba63b4f69f0347c2b483947efb9be3/raw/c85d8af4afe7b7ca5285a485d8a886ea7113d676/cdf_density.R
