funs,pkgs,relative_paths,urls,absolute_paths
ceiling_date,lubridate,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
group_by,dplyr,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
ggplot,ggplot,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
aes,ggplot,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
geom_line,ggplot,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
theme_bw,ggplot,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
library,base,seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md
read_csv,readr,seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md
filter,dplyr,seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md
mutate,dplyr,seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md,https://gist.githubusercontent.com/brshallo/7a14235134f8e10139f71c3369f8d50f/raw/e72d425aaa4cfc29be6987a4ab477ac46debf908/seattle-units-added-new-permits.md
